Ближний Восток	Blízký Východ
во-первых	za prvé
вода	voda
водитель	řidič
водитель автобуса	řidič
водка	vodka
водная фигуристка	akvabela
водяной	mořský muž
вождь	vůdce
возбуждение	napětí
возбуждение	probuzení
возбуждение	vzbuzení
возбуждение	vzrušení
возвращение	návrat
воздушный	letecký
возмущать	bouřit
война	válka
вокзал	nádraží
волдырь	ostře zkritizovat
вон тот	viditelně vzdálený
вопрос	dotaz
ворон	havran
восклицание	ejakulace
воспарять	levitovat
воспарять	vznášet se
воспитательница	vychovatelka
вот как	takovým způsobem
вперед	dopředu
врач	lékař
вращающий момент	kroutivá síla
временный	dočasný
время	čas
вставные зубы	falešné zuby
встретить	nalézt
всякий	každý
всяческий	všemožný
всё равно	stejně
всё равно	tak jako tak
всё равно	to je jedno
вчера	včera
вы	vy
выбирать	volit
выбирать	vybírat
выговор	důtka
выгода	zisk
выдающееся положение	výstupek
выдающееся положение	význačnost
вызвать такси	zavolat taxi
выливать	odlévat
выливать	vylévat
выписать	objednat si
выпустить	vydat
высотный	výškový
высохший	seschlý
высочайший	superlativ
вычислительный	výpočetní
вьюга	bouřka
газета	noviny
галстук	kravata
гвоздика	hřebíček
гелиотроп	heliotrop
гибкий	flexibilní
гибкий	pružný
гитара	kytara
главный	hlavní
главный	hlavní
главный	vrchní
главный	čelní
глаз	oko
глиссер	člun
глубокий	hluboký
гной	hnis
гобой	hoboj
говорить	mluvit
говорить	říkat
говорящий	mluvení
говорящий	mluvící
голова	hlava
голубой	modrý
гольф	golf
горбун	hrbáč
гореь	hořet
город	město
готовить	vařit
град	ledové kroupy
греметь	hřmít
гречневый	pohankový
гроб	rakev
гроза	bouřka
грозить	hrozit
гром	hrom
громоотвот	bleskosvod
грузить	nakládal
груша	hruška
густой	hustý
гусятница	pekáč na maso
да	ano
давать	dávat
давно	dávno
дальний	daleký
далёкий	daleký
дар	dar
дать	dát
движение	doprava
движение	provoz
движение	ruch
движение	ruch
дворец	palác
дворянин	šlechtic
дедушка	dědeček
действенный	efektivní
действовать	jít
декретный отпуск	mateřská dovolená
деление	dělení
делить	dělit
дело	dílo
дело	obchod
дело	podnik
дело	práce
дело	soudní řízení
дело	spis
дело	věc
дело	záležitost
дело	čin
демократический	demokratický
денежные средства	fondy
день	den
день	den
деревня	vesnice
дерево	dřevo
дерево	strom
дерево	stromek
держать машину	parkovat
десять	deset
детонатор	detonátor
детонатор	rozbuška
детонатор	roznětka
джутовый	juta
дизентерия	úplavice
дикобраз	dikobraz
диктовка	diktát
дилер	dealer
директорь	ředitel
длинный	dlouhý
для	pro
для чего	nač
для чего	proč
дно	dno
добрться	dorazit
добрый	dobrý
добрый	hodný
добывать	dobýt
добывать	sehnat
добывать	vytěžit
дождик	deštík
дождливый	deštivý
дождь	déšť
дождь	déšť
дойти	dorazit (k čemu)
долгий	dlouhý
долго	dlouho
дом	domov
дом	dům
дом	dům
домработница	pomocnice v domácnosti
дорога	cesta
дорога	dráha
дорога	drážka
дорога	kolejnice
дорожный знак	dopravní značka
доска	deska
достать	dosáhnout
дочка	dcerka
дочь	dcera
дракон	drak
древний мир	antika (minulost)
древность	minulost
дрейф	volnost
дрожащий	třesoucí se
друг	přítel
дуб	dub
дуршлаг	cedník
дух	duch
дух	duch 
духовка	trouba
душистый горошек	hrachor vonný
дышать	dýchat
дьявол	ďábelský
его	jeho
епископ	biskup
естественный магнит	magnet
есть	jíst
есть	papat
есть	sníst
ехать в объезд	objíždět
ещо	ještě
ещо	ještě k tomu
ещо	už
её	její
жарить	smažit
жаркое	pečeně
жасмин	jasmín
жевать	žvýkat
желание	přání
жена	manželka
жертва	oběť
жидкость	kapalina
жизнь	život
жилой	obydlený
жилой	obytný
жилой	obyvatelný
жилой	obývací
жилой дом	obytný dům
жилой массив	sídliště
жилы	žíly
жилье	bydlení
жить	bydlit
жить	obývat
жрец	kněz
жук	brouk
журнал	časopis
журнал	časopis
жучок	brouček
заведовать	spravovat
заведовать	vést
заведовать	řídit
заведующий	vedoucí
завернуть	zabočit
завернуть	zahnout
завод	fabrika
завод	továrna
завод	závod
загадка	hádanka
загадка	hádanka
заграница	cizina
задача	úkol
зайти	zajít
зайчик	zajíček
заказать	objednat si
заказывать	zamluvit si
законный	zákonný
закончить	dokončit
закуска	předkrm
закусочная	občerstvení
заливная рыба	ryba v aspiku
замесить	zadělat
заместитель	náměstek
заметить	poznamenat
заметить	spatřit
заметить	zapamatovat si
заметить	zpozorovat
заметка	noticka
заметка	novinová zpráva
заметка	poznámka
заметка	znaménko
заметка	článek
замещение страниц	stránkování
замок	zámek
заниматься	pracovat
заниматься	studovat
заниматься	učit se
заниматься	zabývat se
запас	fond
запеканка	nákyp
заправить	přidat
зарождаться	pučet
зарплата	mzda
зарплата	plat
зарплата	výplata
засорение	nečistota
затор	zácpa
заявление	oznámení
заявление	program
заявление	prohlášení
заявление	přihláška
заявление	výzva
здание	budova
здесь	zde
земля	země
земляника	jahoda
зима	zima
змей	drak
значок	ikona
зонт	deštník
зонтик	deštník
зрелище	podívaná
игрок	hráč
идти	jít
из	z
изберать	unikat
изберать	vyhýbat se
избранный	vybrán
издать	vydat
излишек	nadbytek
излучение	vydání
изумлять	udivit
икра	kaviár
иметь	mít
иметь	mít 
иметься	mít se
инвариантный	invariant
индивидуальный	individuální
инженер	inženýr
инженер-механик	strojní inženýr
инженер-экономист	inženýr ekonom
инотранец	cizinec
институт	institut
институт	úřad
инструмент	nástroj
интервью	rozhovor
интернет	Internet
искать	hledat
искать	hledat
искусность	dovednost
исправлять	korigovat
испуганый	vystrašený
исследовать	zkoumat
исторические здания	historické budovy
их	jejich
кабачки цуккини	cuketa
кавалер	nositel
каждый	každý
казаться	vypadat jako
казаться	zdát se
казначей	hospodář
как	co
как	jak
как	jak to, že…
как	jakmile
как	jako
как	jestliže
как	když
как же	jak by ne
как-либо	nějak
как-нибудь	ledabyle
как-нибудь	ledajak
как-нибудь	nějak
как-нибудь	nějakým způsobem
каков	jaký
камень	kámen
канат	lano
капелла	kaple
капр	kapr
капуста	zelí
капуста брюссельская	růžičková kapusta
капуста квашеная	kysané zelí
капуста кудрявая	kapusta
капуста цветная	květák
кар - кар	krá krá
карандаш	tužka
карлик	zastínit
карман	kapsa
карта	mapa
карта	mapa
картина	obraz
касательная	tangenta
кассир	pokladník
каша	kaše
квадратура	kvadratura
квалифицированый	kvalifikovaný
квартал	blok domů
квартал	čtvrť
квартира	byt
кварто	čtvrtina gallonu
кельма	lžíce 
кемпинг	kemping
китайский	čínský
китайский язык	čínština
классическая древность	antika
клещ	klíště
клубника	jahoda
клумба	záhon
ключ	klíč
клёвый чувак	prima chlap
книжный магазин	knihkupectví
кнопка	tlačítko
ковёр	koberec
кожа	kůže
кокетство	koketování
колбаса	salám
колдовской	čáry
количество	množství
колодец	kašna
колонка	sloupek
кольраби	kedluben
кольцо	konečná
кольцо	smyčka
командировка	pracovní cesta
комментарий	komentář
коммюнике	komuniké
конец	konec
конечный	koncovka
конечный	konec
конструкторской	konstrukční
контакт	dotek
конфетка	bonbón
коньки	brusle
конёк	hobby
конёк	koníček
кооператив	družstvo
кооперативный дом	družstevní dům
копьё	kopí
корабль	loď
корица	skořice
коронарное шунтирование 	by-pass
короткий	krátký
коротковолновый	krátkovlnný
корректировать	korigovat
космодром	kosmodrom
космос	kosmos
космос	vesmír
костюм	kostým
костёл	katolický kostel
котелок	kotlík
котлета рубленная	karbanátek
который	jenž
который	který
кофемолка	mlýnek na kávu
кошмар	hrůza
крайний слева	nejvíce vlevo
красивый	krásný
кратковременный дождь	přeháňka
крепость	pevnost
крик	křik
кричать	křičet
крошить	krájet
крытый рынок	tržnice
крюк	hák
ксёндз	kněz
кто	kdo
кто-либо	kdokoli
кто-либо	někdo
кто-нибудь	kdokoli
кто-нибудь	někdo
кто-то	kdosi
кто-то	někdo
кувалда	palice
кувалда	zkritizovat
кувалда	zmlátit
курорт	lázně
курортник	lázeňský host
курьер	kurýr
кусать	kousat
кухня	kuchyně
лавровый лист	bobkový list
лагуна	laguna
ладонь	dlaň
лакировать	lakovat
лапша	nudle
лапша	nudlová polévka
ласкавый	laskavý
лев	lev
лекарсто	lék
лента	páska
лента	stuha
ленточный	pentle
лентяй	lenoch
летать	létat
лететь	letět
лето	léto
летопись	kronika
либидо	pohlavní pud
ливень	lijavec
ливень	liják
ливерный	játrový
ликер	likér
лимон	citrón
листопадный	listnatý
листопадный	opadavý
листопадный	opadávající
литр	litr
литры	litry
литургия	liturgie
лить	lít
лифт	výtah
лихорадка	horečka
лихорадка	zimnice
лица	tváře
лицо	obličej
лицо	osoba
лицо	tvář
личность	osoba
личность	postava
личный	osobní
ловкий	obratný
лодка	člun
ложка	lžíce
лосось	losos
лошадка	koník
лояльный	loajální
лук	cibule
лук-порей	pór
лук-резанец	pažitka
луна	Luna
луна	měsíc
лупа	lupa
лыжи	lyže
любезный	laskavý
любимый	oblíbený
любить	milovat
любовник	milenec
любовница	milenka
любопытство	všetečnost
любопытство	zajímavost
любопытство	zvědavost
люэс	lues
лёд	led
магазин	obchod
магистраль	magistrála
мадам	dáma
мазать	natírat
малый	malý
малыш	mrňous
мальчик	chlapec
мама	máma
мамочка	mamka
маргаритка	sedmikráska
масло	máslo
материал	materiál
материя	látka
матка	matka
матрац	matrace
мать	matka
мать-и-мачеха	podběl obecný
машинистка	písařka
мебель	nábytek
медсестра	zdravotní sestra
менеджер	manažer
меню	menu
меняльная контора	směnárna
мера	míra
месяц	měsíc
металлургия	metalurgie
метать	házet 
мигание	blikání
микрорайон	sídliště
микрофильм	mikrofilm
миксер	mixér
милиционер	milicionář
мимо	mimo
министерство	ministerstvo
миновать	minout
мир	mír
мир	svět (celý)
мир	vesmír (svět)
много	mnoho
можно	je možno
можно	je možné
можно	smí se
мозоль	mozol
мои	moje
мои	moji
мой	můj
молния	blesk
молоко	mléko
молящий об отвращении беды	znevažující
монастыр	klášter
монах	mnich
монета	mince
море	moře
морковь	mrkev
морковь	mrkev
мостовая	dláždění
мостовая	jízdní dráha
мотать	motat
мотылёк	motýlek
моя	moje
моё	moje
муж	manžel
музика	hudba
муравей	mravenec
мутовка	vařečka
муха	moucha
мушка	muška
мы	my
мысль	mysl
мысль	myšlenka
мысль	myšlenka
мыть	mýt
мягкий	měkký
мясная муха	masařka
мясорубка	mlýnek na maso
мяч	míč
на	nad
на самом деле	ve skutečnosti
на халяву	zadara
набережная	nábřeží
навещать	navštěvovat
навозная куча	hnojiště
надежда	naděje
надменность	nadutost
надувной	nafukovací
найти	nalézt
наматывать	naviják
напечатать	naklepat na stroji
напечатать	otisknout
напечатать	uveřejnit
наполненный семенами	plný semen
направленный внутрь	vnitřní
напрягаться	namáhat se
нарезать	krájet
народ	národ
наряд	oblékání
наряд	oděv
насекомые	hmyz
население	obyvatelstvo
настоящий	skutečný
настроение	nálada
насыпь	násep
научно-исследователный	vědecko výzkumný
научный	vědecký
научный	vědecký
нация	národ
наш	náš
наша	naše
наше	naše
наши	naše
наши	naši
не	ne
не за что	není zač
не попасть	minout
небо	obloha
небосвод	obloha
невкусный	nechutný
неврученый	nedoručený
недавно	nedávno
неделя	týden
незнакомец	cizinec
незрелый	nezralý
неистощимый	nevyčerpatelný
нелояльность	neloajálnost
нелюбезный	neochotný
ненавидеть	nenávidět
ненависть	nenávist
ненаучный	nevědecký
неопытный	nezkušený
неотвязчивый	neodbytný
непосредственый	bezprostřední
непристойный	sprostý
неродной	nevlastní
несовместимый	nekonzistentní
нести	nést
несчастный	nešťastný
несчастный случай	neštěstí
нет	ne
неудача	neúspěch
неудачный	nešťastný
неформальный	neformální
нефть	nafta
но	ale
но	alébrž
но	avšak
но	leč
новелла	novela
новостройка	novostavba
новость	novinka
нога	noha
нога	noha
нож	nůž
ножка	noha
ноздря	nozdra
носильщик	nosič
носитель	nositel
носить	nosit
носорог	nosorožec
нота	nota
нотариальный	notářský
ну и что же	budiž
ныряние	ponořovat se
оба	oba
обвалять	obalovat
обеспечивать доходом	dotovat
обзор	přehled
облако	oblaka
областной город	krajské město
обойти	obejít
обольщать	svádět
обработать	zpracovat
образование	vzdělání
образовательный	výchovný
общество	společnost
объявление	inzerát
объявлять	oznámit
объявлять	prohlásit
объём	objem
обыкновенный	obyčejný
овод	ovád
овощи	zelenina
оглашение	uveřejnění
оглашение	vyhlášení
оглашение	vyhlášení
оглашение	zveřejnění
оглашения	oznámení
оглашения	oznámení
оглашенный	oznámený
оглашенный	vyhlášený
оглашенный	vyhlášený
оглашенный	zveřejněný
огурец	okurka
одеть	obléct
одеяло	přikrývka
один	jedna 
одноэтажный	přízemní
ожидание	čekající
ожидать	očekávat
озеро	jezírko
окись алюминия	oxid hlinitý
окно	okno
окраница	předměstí
окружить	obklíčit
омлет	omeleta
он	on
она	ona
они	oni
оно	ono
опасение	obava
опиловка	registrace
оправдываемый	udržitelný
опровержение	dementi
опубликовать	uveřejnit
опыт	zkušenost
опытный	být zručný
оранжерейный эффект	skleníkový efekt
оргия	orgie
орытный	zkušený
оса	vosa
осень	podzim
осмотрительный	obezřetný
основанный	založený
оставлять	nechat
оставлять	opustit
оставлять	zanechat
останавливаться	zastavovat se
остановить	zastavit
остановка	zastávka
осторожный	obezřetný
осьминог	chobotnice
отдалённый	daleký
отдел	oddělení
отделный	oddělený
отдых	odpočinek
отдых	pobyt
отдых	rekreace
отдыхать	odpočívat
отдыхающий	rekreant
отец	otec
отец	otec
отзывы печати	odezva v tisku
открытие	objev
отложить	odložit
отлучение	exkomunikace
отправиться	vydat se
отпуск	dovolená
отсутствие	nedostatek
оттуда	odtamtud
отцовский	otcovský
отчет	ohlásit
отчим	nevlastní otec
офис	úřad
охват	diapazón
охотиться	lovit
охрана	ochrana
очередной отруск	řádná dovolená
ошибаться	chybovat
ошибка	chyba
ошибка	chyba
ошибка	mýlka
ошибка	omyl
ощущать	cítit
палатка	stan
пальто	kabát
памятник	památník
панельный	panelový
папа	táta
парикмахерская	kadeřnictví
парк	park
парламентский	parlament
парниковый эффект	skleníkový efekt
пассаж	pasáž
пассаж	průchod
пассажир	pasažér
пассажирский поезд 	osobní vlak
пастор	pastor
паштет	paštika
пельмени	vařené taštičky plněné masem
первый	první
переводчик	tlumočník
переиздать	znovu vydat
перекрёсток	křižovatka
перелистивать	rychle prolistovat
переносить	nést
переночевать	přenocovat
пересесть на	přesednout na
пересчет голосов при выборах	přepočíst
переулок	vedlejší ulice
перец душистый	nové koření
перец красный	paprika
перец стручковый	paprika
перец чёрный	pepř černý
период	období
песня	píseň
петрушка	petržel
петь под фанеру	zpívat na playback
печать	tisk
пешеход	chodec
пиво	pivo
пиджак	kabát
пирожное	zákusek
писание	psaní
писатель-фантаст	autor sci-fi 
письмо	dopis
питание	stravování
плавленый	tavený
планета	oběžnice
планировать	plánovat
платок	kapesník
плесень	plíseň
плита	sporák
плитка	cestovní lihový vařič
плодородный	úrodný
площадь	náměstí
пльзень	Plzeň
пневмоторакс	pneumotorax
повар	kuchař
поверить	prověřit
поверить	prozkoumat
поверить	svěřit
поворачивать	obracet se
поворачивать	odbočovat
поворачивать	otáčet se
поглощенный мыслями	zahloubaný
погода	počasí
под фонограмму	z playbacku
подарок	dar
подземный переход	podchod
подлить	přilít
подметальщик	metař
поднимать	bouřit
поднимать	zdvihat
поднимать	zvedat
поднимать	zvyšovat
подписаться на что	předplatit si
подсобный	pomocný
подставлять	nastavovat
подсчитано	sečteno
подсчитано	vypočteno
подходить	jít
поезд	vlak
поездка	vyjížďka
поездка	výlet
позаботиться	obstarat
поймать	chytit (zvíře)
поймать такси	chytit taxi
пойти	jíti
показ	podívaná
показ	projevit
показ	projevovat
показаться	objevit se
показаться	ukázat se
показаться	zdát se
покрасить	nabarvit
покупать	nakupovat 
ползти	lézt
полумесяц	půlměsíc
полуфабрикат	polotovar
получить	dostat
получить	nabýt
получить	získat
пользоваться	používat
помидор	rajské jablko
попасть	dostat se
попасть	najít
попасть	trefit
попасть	zasáhnout
порвать	natrhat
порвать	potrhat
порвать	přerušit
порвать	přerušit styky
порвать	roztrhnout
посещать	navštěvovat
поставить машину	zaparkovat
поставить палатку	postavit stan
посуда	nádobí
посёлок	sídliště
потом	pak
потом	potom
потому	proto
потому что	protože
поход туристский	pochod
поход туристский	tůra
поход туристский	výlet
почки	ledvinky
почта	pošta
почётный	čestný
появиься	objevit se
правильный	správný
превращать	měnit 
предвещающий	prognostický
предвидение	informovanost
предложение	nabídka
предприятие	podnik
предприятие	závod
представитель	zástupce
представительство	zastupitelství
прибор	příbor
привязать	provaz
привязать	řetěz
пригород	okolí města
пригород	předměstí
приготовить	uvařit
прийти	dospět
приказание	instrukce
приказание	nařízení
приказание	povel
приказание	rozkaz
приказать	nařídit
приказать	předepsat
прикасаться	dotknutí
прикосновение	dotek
принести	přinést
принуждение	donucení
принуждение	omezení
принц	princ
приобрести	získat
приправа	pochutina
приятный	příjemný
приёмный	nevlastní
провожать	doprovázet
проворный	obratný
прогноз	předpověď
прогрессирующий	postupování
прогулка	procházka
прогулка	výlet
продавец	prodavač
продлить	prodloužit
продолжительный	dlouhý
проектировщик	projektant
проектный	projekční
проехать	minout
пройти	minout
проспект	třída
простуда	nachlazení
протеже	dítě
противень	plech
противодействие	odpor
профессия	obor
профессия	povolání
профессия	profese
профиль	profil
прохожий	kolemjdoucí
прошлое	minulost
прямой	vztyčený
пряность	koření
пряность	kořeněnost
путеводитель	průvodce
путешественик	cestovatel
путешествие	cesta
путешествие	cestování
путёвка	poukaz
пчела	včela
работа	provoz
работа	práce
работа	výkon
работа	činnost
работать	běžet
работать	fungovat
работать	jít
работать	pracovat
работник	pracovník
работник	zaměstnanec
работодатель	zaměstnavatel
рабочая тетрадь	příručka
рабочий	dělník
рабочий	pracovní
рабочий строитель	stavební dělník
равнодушный	netečný
равнодушный	obstojný
равной	rovný
равной	stejný
равный	rovný
рагу	ragů
радуга	duha
разбить палатку	postavit stan
развести	rozdělat
разливная ложка	naběračka
размолоть	umlít
разный	rozličný
разный	různý
разоблачение	odhalení
разумный	pochopitelný
район	kraj
район	oblast
район города	městský obvod
районный город	okresní město
раковина	lastura
ракушка	lastura
раскат грома	zahřmění
раскладушка	rozkládací lehátko
распределить	přidělit
рассольник	polévka s kyselými okurkami a masem
растение	rostlina
расти	růsti
растущий	rostoucí
ратуша	radnice
ребята	děti
ребёнок	dítě
регулировать	řídit
регулировщик	dopravní policista
редактор	redaktor
редис	ředkvička
редиска	ředkvička
резать	krájet
резать	krájet
река	řeka
рефлектор	reflektor
рисовть	kreslit
рисунок	kresba
роговой	rohatý
роговой	rohovitý
родина	vlast
родной	vlastní
рождение	narození
рот	ústa
рубашка	košile
руководить	vést
русский	ruský
рынок	trh
рычаг	pákový
рюкзак	ruksak
рюмка	kalíšek
сазан	kapr
салат	salát
сало	sádlo
сам	sám
само собой	samozřejmě
самовлюбленность	narcismus
самовлюбленный человек	egoista
самостоятельный	individuální
самый	--
самый	hned
самый	pouhý
самый	samý
сберкасса	spořitelna
свет	svět
светить	svítit
светофор	semafor
свободный	volný
сводка	souhrnná zpráva
свёкла	řepa
себя	samo
себя	se
сезон	období
сезон	sezóna
сей	tento
сейсмограф	seismograf
сейсмограф	seizmograf
секретарь	tajemník
село	vesnice
сельдерей	celer
сельский	venkovský
селёдка	slaneček
семья	rodina
сен	sen
сесть на	nastoupit do
синий	modrý
синица	sýkora
система	systém
сию минуу	ihned
сквер	malý park
скидка	sleva
скорее	rychleji
скорее	spíše
скучный	jednotvárný
сладкое	zákusek
сладости	cukroví
сласти	cukroví
след	dráha
след	koleje
следовать	následovat
слепень	ovád
сливки	sladká smetana
слизистый	hypofýza
слишком	příliš
слон	slon
слон	střelec
слониха	slonice
служащий	úředník
случайность	náhoda
слушать	naslouchat
смеяться	posmívat se
смеяться	smát se
смотреть	dívat se
смысл	smysl
смысл	význam
сначала	z počátku
сначала	ze začátku
снег	sníh
снежная баба	sněhulák
снесённый	zbouraný
собака	pes
соблюдать	dodržovat
собор	chrám
собор	katedrála
собрать	nahromadit
собраться	potkat
собраться	sejít se
собственно	vlastně
событие	událost
совершать террористический ак	zavraždit
совершить	uskutečnit
совещание	konference
сойти с	vystoupit z
сократить	zkrátit
сопровождать	doprovázet
сорок	čtyřicet
сороковой	čtyřicátý
сорочка	košilka
сосиска	párek
сосуд	nádoba
сотрудник	spolupracovník
сотрудничать	spolupracovat
сочувствовать	cítit
спальный мешок	spací pytel
спасибо	děkuji
спать	spát
спектроскоп	spektroskop
спесь	marnivost
справочник	informační příručka
справочный	informační
спрут	chobotnice
спутник	družice
сражение	bitva
среда	okolí
среда	prostředí
среди	mezi
среди	mezi
среди	uprostřed
средневековый	středověký
среднее	průměrně
средний	běžný
средний	normální
средний	obyčejný
средний	prostřední
средний	průměrný
средство	lék
средство	léčivo
средство	metoda
средство	prostředek
средство	zbraň
среды	prostředí
средь	mezi
средь	uprostřed
срез	cut/cut/cut
срез	sek
срез	zkrácení
срез	řez
срез	říznutí
срезание	frézování
срисовать	obkreslit
срок	doba
срок	lhůta
срок	termín
стакан	sklenice
станция	postavení
станция	stanice
старый	starý
статья	článek
статья передовая	úvodník
стихи	básně
стихотворение	báseň
столетник	aloe
столица	hlavní město
столкновение	konflikt
столкновение	srážka
стоянка	stanoviště
стоять на шухерь	dělat zeď
страх	obava
страх	obávat se
страх	strach
страхкасса	pojišťovna
строить	budovat
студень	huspenina
судно	loď
суп	polévka
суп гороховый	hrachová polévka
суп овощной	zeleninová polévka
супруг	manžel 
супруга	manželka
супружеский	manželský
суток	24 hodin
сухой	suchý
сухой спирт	suchý líh
существовать	existovat
существующий	existující
счастье	štěstí
считать	myslit
считать	pokládat (za)
считать	počítat
считать	soudit
считаться	brát do úvahy
считаться	počítat
считаться	účtovat
считаться (кем)	být považován za 
съёмка под фонограмму	playback
сын	syn
сынок	synek
сыр	sýr
сырник	tvarohový vdolek
тайна	tajemství
такая	taková
такое	takové
такой	takový
талий	rozmoklý
талий	roztálý
тарелка	talíř
твой	tvůj
творог	tvaroh
твоя	tvá
твоё	tvé
телеграфная	telegrafní
тележка	trolejbus
телефон	telefon
телефон	volat
тема	téma
теперь	nyní
теперь	teď
тепличный эффект	skleníkový efekt
тереть	strouhat
техник	technik
тираж	náklad
тихий	tichý
ткань	látka 
тмин	kmín
товарный поезд	nákladní vlak
токарь	soustružník
толпа	dav
толпа	holota
толпа	zástup
только	jen
только	jenom
только	pouze
томатный	rajčatový
томография	tomografie
торговый центр	tržnice
тот	ten
тот же	týž
травы	byliny
транспортный	dopravní
тревога	neklid
тревога	obava
тревога	poplach
тревога	starost
трогаться с места	rozjíždět se
тротуар	chodník
трудный	nesnadný
трудный	obtížný
трудный	těžký
трудовой	pracovní
труп	mrtvola
туман	mlha
туман	mrak
тупик	slepá ulice
турбаза	turistická chata
турист	turista
туча	mrak
тушить	dusit
тушёный	dušený
тщеславие	marnivost
ты	ty
тяжелый	těžký
убедить	namluvit
убедить	přesvědčit
убивашка	akční film
убийство	vražda
убийство	vraždit
убийство	zavraždit
увлажняющий 	hydratační
угловой	rohový
удар грома	zahřmění
удить	chytat ryby
удолять	čistit
ужастик	horor
уже	již
уже	už
узнать	dostat zprávu
узнать	dozvědět se
узнать	poznat
узурпация	uchvácení
уйти	být odejit
указать	poukázat
указать	ukázat
уксус	ocet
уличный	pouliční
улучшать	zlepšovat
умение	dovednost
умнан	koumák
умняв	koumák
умняк	koumák
умнячка	koumák
умняш	koumák
умняшка	koumák
умственно отсталый	duševně zaostalý
управление	správa
управлять	spravovat
управлять	vést
управлять	řídit
уровень	vodováha
усреднить	udělat průměr
устанавливать значение	vymezovat
утечка мозгов	únik mozků
утечка умов	únik mozků
утилита	utilita
уфологический	ufologický
уфология	ufologie
уха	ucha - rybí polévka
уход	obsluha
учитель	učitel
учреждение	institut
учреждение	zařízení
учреждение	ústav
учреждение	úřad
учёба	učení
фабрика	továrna
фабрика	závod
фазан	bažant
файл	file
файл	soubor
факать	nadávat
факерь	chlívák
факс	fax
факс-аппарат	fax
факс-машина	fax
факс-модем	fax modem
факсимильный аппарат	fax
факсограмма	fax
фаллоимитатор	robertek
фан-клуб	fan klub
фанатизм	fanatismus
фанера	playback
фармпрепарат	farmakum
фаршированный	nadívaný
фельетон	fejeton
феминизм	feminismus
феминистка	feministka
феминистский	feministický
феодализм	feudalismus
фермер	sedlák
фильм ужасов	horor
фильм-гигант	velkofilm
фильм-катастрофа	katastrofický film
фильм-портрет	dokumentární film - portrét někoho
фламенко	flamengo
флип	flip
